ID,application_date,generic_score,generic_score2,generic_score3,generic_score4,income_trend_score,indebtedness_score,loan_amount,loan_term,aggregator_group,age,region,social_accounts,social_score,job_sector,associate_flag,mortgage_flag,num_searches,num_accounts_closed,num_transactions,num_pi_records,num_months_pi_recorded,num_defaults,num_months_since_last_default,num_settled_good,num_settled_good_l6m,num_delinquents,num_of_revolving_accounts,outcome
18522,2020-01,1209,704,1741,-1.56,1.65,4,25000,24,Other,51,South East,5,85,1.0,1,1,-2,0,82.0,0,0,0,0,6,2,0,5,0
49369,2021-02,752,900,638,0.97,-0.77,19,5000,48,Best Loans Warehouse,39,South East,6,126,2.0,0,0,0,6,15.0,0,0,2,29,3,2,2,2,0
40782,2020-01,825,579,1233,-1.06,-0.39,16,2000,12,Other,39,West Midlands,5,112,5.0,0,0,-2,1,6.0,0,0,1,60,9,2,1,0,0
32827,2021-08,1019,1079,679,1.31,0.64,6,2000,36,Best Loans Warehouse,28,Yorkshire and The Humber,2,48,3.0,1,1,-2,5,84.0,0,0,0,0,6,1,0,2,0
38004,2021-03,1032,878,1390,1.33,0.71,-2,7500,12,Best Loans Warehouse,24,South East,6,117,3.0,0,0,-2,2,90.0,0,0,0,0,3,2,0,0,1
49011,2021-07,661,548,91,0.85,-1.26,12,3000,48,Loan Saving Expert,22,East Midlands,2,55,2.0,1,0,-2,0,28.0,0,0,0,0,2,0,0,0,1
56229,2020-01,557,538,503,0.72,-1.81,26,1500,36,Best Loans Warehouse,31,North East,4,60,3.0,1,0,0,6,80.0,0,0,0,0,6,6,0,0,0
53302,2020-01,900,501,1074,-1.16,0.01,16,5000,24,Best Loans Warehouse,35,South East,2,40,5.0,1,1,0,0,0.0,0,0,1,49,8,1,1,1,0
23038,2020-07,1122,579,1152,-1.44,1.19,1,12000,60,Best Loans Warehouse,45,South East,0,18,9.0,0,0,-2,3,5.0,0,0,0,0,5,0,0,2,0
37577,2020-10,788,947,214,-1.01,-0.58,16,5000,36,Best Loans Warehouse,52,North West,5,82,2.0,0,1,-2,1,69.0,0,0,0,0,4,1,0,3,0
36641,2020-10,900,638,990,-1.16,0.01,1,15000,60,Best Loans Warehouse,37,Yorkshire and The Humber,0,12,3.0,1,1,0,0,99.0,0,0,0,0,8,3,1,1,0
50199,2020-09,1104,1026,686,-1.42,1.09,1,12000,60,Best Loans Warehouse,46,North East,0,15,3.0,1,0,-2,6,30.0,0,0,0,0,2,0,0,1,0
45827,2020-09,734,589,866,0.94,-0.87,8,17000,60,Other,39,South West,0,19,,0,1,0,1,30.0,0,0,0,0,9,7,0,3,0
21407,2021-06,1031,674,1447,-1.33,0.71,4,9000,60,Best Loans Warehouse,50,Yorkshire and The Humber,4,64,2.0,1,1,-2,4,32.0,0,0,0,0,5,2,0,1,0
29680,2020-12,1133,773,601,1.46,1.25,2,8000,60,Best Loans Warehouse,24,North East,0,14,5.0,0,0,-2,4,90.0,0,0,0,0,5,1,0,0,0
13791,2020-07,1112,751,922,-1.43,1.14,1,20000,48,Best Loans Warehouse,36,East of England,2,44,3.0,0,0,0,6,32.0,0,0,0,0,3,0,0,0,0
55191,2020-02,680,756,240,-0.88,-1.15,26,6000,24,Best Loans Warehouse,47,South East,6,108,7.0,1,0,0,0,63.0,0,0,1,48,9,2,3,2,0
24183,2020-04,971,552,1493,1.25,0.39,4,15000,60,Loan Saving Expert,46,South East,6,106,1.0,1,0,-2,0,25.0,0,0,0,0,9,3,0,5,0
35310,2020-02,709,591,883,0.91,-1.0,16,2000,24,Best Loans Warehouse,38,East of England,4,96,2.0,1,1,0,1,79.0,0,0,0,0,9,6,0,8,0
46824,2021-05,1290,695,1468,1.66,2.08,1,5000,60,Other,28,London,4,69,3.0,1,1,-2,4,66.0,0,0,0,0,6,1,0,1,0
54586,2020-12,342,510,862,0.44,-2.95,91,3000,36,Best Loans Warehouse,42,Scotland,1,32,6.0,0,0,-2,5,71.0,0,0,2,71,1,0,3,2,1
37400,2020-10,1022,813,632,1.32,0.66,1,3000,24,Best Loans Warehouse,46,Yorkshire and The Humber,0,14,6.0,1,1,-2,0,33.0,0,0,0,0,9,2,0,0,0
43578,2020-11,790,899,1300,-1.02,-0.57,16,5000,36,Best Loans Warehouse,25,South East,5,104,9.0,0,0,-2,5,50.0,0,0,0,0,9,2,0,1,0
53401,2020-08,1038,518,760,-1.34,0.74,4,23000,60,Best Loans Warehouse,35,Wales,5,79,2.0,1,1,-2,6,94.0,0,0,0,0,9,4,0,1,0
42500,2020-09,870,844,672,1.12,-0.15,10,2900,18,Best Loans Warehouse,23,East Midlands,3,65,2.0,0,0,-2,1,24.0,0,0,0,0,0,0,0,0,0
55405,2020-02,898,675,838,-1.16,0.0,1,5000,60,Best Loans Warehouse,48,North East,6,135,1.0,1,0,-2,1,64.0,4,34,0,0,8,0,0,1,0
22445,2020-06,598,633,898,-0.77,-1.59,46,3000,36,Best Loans Warehouse,44,Scotland,3,50,7.0,0,0,1,5,25.0,0,0,0,0,9,2,0,0,1
52570,2020-07,711,978,1033,-0.92,-0.99,46,2000,48,Best Loans Warehouse,25,South East,4,66,8.0,0,0,-2,5,92.0,0,0,1,47,1,1,1,0,0
21677,2020-10,724,514,626,0.93,-0.92,4,4000,12,Other,40,South East,4,82,1.0,1,1,3,2,78.0,0,0,0,0,9,2,0,3,0
50274,2020-04,596,966,586,-0.77,-1.6,57,3000,36,Best Loans Warehouse,42,North East,6,97,2.0,0,0,-2,3,47.0,0,0,2,4,3,2,2,1,0
28747,2021-02,1188,1258,1262,1.53,1.54,3,6000,48,Best Loans Warehouse,40,East Midlands,6,110,3.0,1,1,-2,4,39.0,0,0,0,0,9,0,0,3,0
56049,2021-12,515,768,19,-0.66,-2.03,46,5000,30,Best Loans Warehouse,26,South East,4,55,7.0,0,0,0,4,5.0,1,50,0,0,6,3,0,1,0
47271,2021-12,1242,560,1074,-1.6,1.83,2,3200,24,Other,34,North West,6,82,2.0,0,0,-2,3,43.0,0,0,0,0,5,2,0,0,0
21375,2020-05,1034,545,1192,1.33,0.72,4,3500,24,Best Loans Warehouse,41,South East,0,12,4.0,0,0,0,0,39.0,0,0,0,0,6,3,0,0,0
29911,2021-12,1086,1106,1470,-1.4,1.0,2,10000,48,Best Loans Warehouse,32,London,2,46,4.0,0,0,0,0,96.0,0,0,0,0,4,1,0,1,0
49624,2021-01,1050,582,530,1.35,0.81,-2,15000,24,Loan Saving Expert,47,London,2,43,8.0,0,0,-2,0,4.0,0,0,0,0,4,1,0,0,0
24853,2021-06,959,629,671,-1.23,0.33,1,6000,36,Best Loans Warehouse,29,North West,2,38,1.0,1,0,-2,0,34.0,0,0,0,0,3,0,0,2,0
19388,2020-06,880,655,408,-1.13,-0.09,4,6000,48,Other,53,South East,0,11,,1,1,0,2,96.0,0,0,0,0,3,0,0,1,0
32400,2021-08,1032,700,1472,1.33,0.71,4,5000,48,Best Loans Warehouse,39,London,6,105,5.0,0,0,-2,3,57.0,0,0,0,0,2,2,0,1,0
25946,2021-03,900,613,986,1.16,0.01,1,10000,36,Best Loans Warehouse,48,West Midlands,1,32,2.0,0,0,-2,0,16.0,1,43,0,0,6,2,0,2,0
26024,2020-04,933,661,457,-1.2,0.19,4,3500,18,Best Loans Warehouse,49,West Midlands,6,75,2.0,1,1,0,6,51.0,0,0,0,0,5,3,0,5,0
23579,2020-08,900,679,576,-1.16,0.01,1,4000,24,Best Loans Warehouse,51,North West,2,35,4.0,1,0,-2,0,1.0,1,58,0,0,2,0,0,1,0
21180,2020-04,1097,772,1681,-1.41,1.06,2,2000,12,Best Loans Warehouse,27,London,6,97,2.0,0,0,-2,1,33.0,0,0,0,0,0,0,0,0,0
32319,2021-04,913,673,1085,-1.18,0.08,6,10000,42,Other,24,North West,1,24,5.0,0,0,-2,4,32.0,0,0,0,0,4,1,0,0,1
44490,2021-06,1202,592,1438,-1.55,1.61,1,25000,60,Get Loans Marketplace,54,South East,0,11,,1,1,0,1,31.0,0,0,0,0,5,1,0,0,0
52247,2020-08,698,634,674,-0.9,-1.06,16,10000,60,Best Loans Warehouse,51,South West,2,46,1.0,0,0,-2,4,66.0,0,0,0,0,9,2,0,3,0
48578,2021-09,975,922,1131,-1.25,0.41,1,12000,18,Best Loans Warehouse,32,South East,2,40,2.0,0,0,0,2,86.0,0,0,0,0,9,9,0,2,0
52180,2020-07,602,617,970,-0.77,-1.57,12,8000,48,Best Loans Warehouse,22,South West,6,127,9.0,1,0,-2,2,,0,0,0,0,8,2,0,1,1
15567,2021-12,954,547,814,-1.23,0.3,4,2000,12,Best Loans Warehouse,60,South East,6,134,6.0,0,0,0,4,93.0,0,0,0,0,4,1,0,0,0
45739,2021-06,897,577,351,1.15,-0.0,8,15000,60,Best Loans Warehouse,42,East Midlands,1,39,1.0,0,0,-2,2,81.0,0,0,0,0,9,4,0,5,0
30946,2021-09,1105,909,773,1.42,1.1,4,10000,48,Best Loans Warehouse,45,West Midlands,6,112,4.0,0,0,0,0,67.0,0,0,0,0,8,0,0,0,0
22507,2021-02,976,618,440,-1.26,0.42,8,3100,36,Get Loans Marketplace,28,South East,0,12,,1,1,0,0,65.0,0,0,0,0,8,1,0,1,0
42802,2020-06,624,784,118,-0.8,-1.45,46,3000,60,Get Loans Marketplace,35,Yorkshire and The Humber,1,34,,1,1,0,3,79.0,0,0,0,0,9,2,0,4,0
51756,2021-10,1067,517,1471,-1.37,0.9,2,3300,24,Best Loans Warehouse,22,North East,4,66,1.0,0,0,-2,2,33.0,0,0,0,0,2,1,0,0,0
13349,2021-11,1161,587,1373,-1.49,1.4,3,14000,60,Best Loans Warehouse,23,South East,6,82,2.0,0,0,-2,6,49.0,0,0,0,0,2,1,0,0,0
28622,2020-06,788,1071,1334,-1.01,-0.58,4,3500,48,Best Loans Warehouse,29,North West,6,135,3.0,1,1,1,0,33.0,1,55,0,0,2,0,0,1,0
25128,2021-01,862,548,458,-1.11,-0.19,6,10000,60,Best Loans Warehouse,59,East Midlands,6,128,1.0,0,0,-2,4,11.0,0,0,0,0,6,1,0,2,0
46351,2020-04,1141,472,1463,1.47,1.29,3,4000,48,Other,53,West Midlands,3,44,3.0,1,1,-2,1,77.0,0,0,0,0,9,1,0,2,0
49519,2021-04,779,982,177,-1.0,-0.63,26,3000,24,Best Loans Warehouse,50,Yorkshire and The Humber,2,35,5.0,0,0,-2,5,55.0,0,0,0,0,2,0,0,3,1
53553,2021-11,797,556,631,1.03,-0.53,16,15000,60,Best Loans Warehouse,45,Wales,6,78,8.0,0,1,-2,1,36.0,0,0,0,0,4,1,0,6,0
19279,2020-01,1005,547,1409,-1.29,0.57,8,5000,60,Other,43,South West,5,82,2.0,1,1,-2,0,86.0,0,0,0,0,6,0,0,5,0
47397,2020-07,1041,1230,1235,-1.34,0.76,2,5500,48,Loan Saving Expert,36,Scotland,6,132,9.0,0,0,-2,0,81.0,0,0,0,0,4,1,0,1,0
48589,2020-07,891,526,1075,1.15,-0.04,8,10000,60,Best Loans Warehouse,22,South East,0,14,2.0,0,0,-2,5,73.0,0,0,0,0,8,1,0,2,0
33557,2021-01,366,618,178,-0.47,-2.82,79,4000,48,Best Loans Warehouse,42,North West,4,94,6.0,1,1,0,0,29.0,0,0,3,6,6,1,4,2,0
25052,2021-01,819,468,237,1.05,-0.42,4,1500,48,Other,25,North East,2,53,2.0,0,1,1,0,3.0,0,0,0,0,6,1,0,1,1
45274,2021-08,1090,814,1410,-1.4,1.02,4,4500,60,Other,47,North West,0,14,9.0,0,0,-2,1,38.0,0,0,0,0,4,0,0,1,0
27913,2021-08,775,752,1323,1.0,-0.65,4,1500,18,Direct,28,East Midlands,1,22,,1,0,0,4,46.0,0,0,0,0,5,2,1,3,0
25746,2021-04,1155,739,1035,-1.49,1.37,2,9000,60,Best Loans Warehouse,31,Scotland,3,42,2.0,0,1,-2,0,92.0,0,0,0,0,3,1,0,2,0
47815,2021-11,1089,778,1615,1.4,1.02,1,8000,48,Best Loans Warehouse,58,South West,1,26,6.0,0,0,0,3,24.0,0,0,0,0,9,3,0,3,0
20931,2021-01,1112,904,692,-1.43,1.14,8,5000,60,Get Loans Marketplace,47,London,0,10,,1,1,0,4,65.0,0,0,0,0,9,1,0,3,1
43680,2021-11,764,888,1122,0.98,-0.71,50,1500,24,Best Loans Warehouse,34,East Midlands,3,54,9.0,1,1,-2,2,,0,0,0,0,9,3,0,3,1
35453,2021-08,760,1118,610,-0.98,-0.73,16,8000,24,Loan Saving Expert,31,London,3,62,1.0,0,0,0,0,,0,0,0,0,8,2,0,0,1
51489,2020-03,798,680,1278,1.03,-0.53,16,7000,36,Loan Saving Expert,40,East of England,3,69,2.0,1,1,-2,4,61.0,0,0,0,0,9,9,0,7,0
37827,2021-07,943,485,413,-1.21,0.24,2,10500,36,Other,27,London,1,20,2.0,0,0,0,4,25.0,0,0,0,0,9,7,0,0,0
40934,2021-10,949,645,1397,-1.22,0.27,4,12000,60,Other,42,North West,6,72,1.0,1,1,-2,4,35.0,0,0,0,0,9,4,0,1,0
15517,2020-06,897,987,615,-1.15,-0.0,8,12000,36,Best Loans Warehouse,33,London,0,12,2.0,0,0,0,3,10.0,0,0,0,0,8,0,0,2,0
55391,2021-08,877,473,761,1.13,-0.11,5,3000,24,Best Loans Warehouse,29,London,6,115,7.0,0,0,0,3,73.0,0,0,0,0,9,2,0,0,0
47647,2020-02,738,840,308,0.95,-0.85,26,10000,48,Best Loans Warehouse,31,London,2,33,2.0,0,0,-2,0,68.0,0,0,0,0,9,5,0,5,0
55199,2020-06,708,793,1220,0.91,-1.01,12,6000,24,Best Loans Warehouse,45,South West,2,48,2.0,0,0,-2,2,16.0,0,0,0,0,1,0,0,3,0
39131,2020-06,799,923,1345,1.03,-0.52,10,3500,24,Loan Saving Expert,27,London,5,88,8.0,0,0,0,2,,0,0,0,0,5,2,0,0,0
29679,2021-02,970,745,424,1.25,0.38,6,3600,48,Other,29,East Midlands,1,29,4.0,1,0,0,1,41.0,0,0,0,0,9,5,0,1,0
49098,2020-07,781,617,1291,1.01,-0.62,4,7000,48,Best Loans Warehouse,41,North East,1,39,2.0,1,1,-2,3,0.0,0,0,0,0,8,1,1,1,0
54229,2020-10,839,754,917,1.08,-0.31,10,4000,36,Best Loans Warehouse,35,South West,6,136,6.0,0,0,-2,5,56.0,0,0,1,64,0,0,1,0,0
25232,2021-12,901,849,961,1.16,0.02,6,12000,36,Best Loans Warehouse,50,London,3,63,2.0,0,0,-2,2,30.0,0,0,0,0,9,3,0,1,0
23141,2021-02,1009,883,1103,1.3,0.59,2,25000,60,Loan Saving Expert,39,London,1,38,2.0,0,1,5,1,1.0,0,0,0,0,3,0,0,1,0
45028,2020-01,983,987,1327,-1.27,0.45,8,7000,60,Best Loans Warehouse,38,Wales,6,88,1.0,0,0,0,2,78.0,0,0,0,0,8,4,0,1,0
49661,2021-03,1149,530,1009,-1.48,1.33,2,12500,12,Best Loans Warehouse,29,Scotland,1,28,5.0,1,1,0,2,65.0,0,0,0,0,1,1,0,2,0
20975,2020-03,1029,553,807,-1.32,0.7,1,10000,60,Best Loans Warehouse,33,West Midlands,1,21,9.0,0,0,-2,3,36.0,0,0,0,0,9,1,0,2,0
49194,2020-01,1021,754,869,1.31,0.65,2,20000,60,Other,32,East of England,1,28,3.0,1,1,-2,4,61.0,0,0,0,0,6,2,0,1,0
15957,2021-10,1079,921,1247,1.39,0.96,1,10000,36,Best Loans Warehouse,29,Scotland,3,57,9.0,1,0,-2,6,53.0,0,0,0,0,9,2,0,0,0
36181,2021-05,906,646,870,1.17,0.04,1,6000,24,Other,44,East of England,5,73,9.0,1,1,1,6,3.0,0,0,0,0,9,3,0,3,0
39561,2021-05,1149,606,1065,-1.48,1.33,1,10000,60,Best Loans Warehouse,44,West Midlands,6,133,6.0,1,1,-2,4,7.0,0,0,0,0,5,2,0,2,0
22308,2021-07,708,603,1008,0.91,-1.01,12,5000,60,Loan Saving Expert,34,East Midlands,6,128,9.0,0,0,0,1,88.0,0,0,0,0,6,1,0,3,1
34529,2021-03,848,512,882,1.09,-0.26,12,2000,12,Best Loans Warehouse,40,London,4,87,1.0,0,0,-2,3,99.0,0,0,3,30,1,0,3,0,0
54091,2021-12,683,555,531,0.88,-1.14,16,2000,24,Best Loans Warehouse,28,Scotland,6,113,9.0,0,0,-2,0,94.0,0,0,0,0,1,0,0,0,0
20898,2020-11,670,715,536,-0.86,-1.21,46,3000,60,Best Loans Warehouse,55,East of England,5,106,1.0,1,0,-2,4,10.0,0,0,0,0,9,6,1,2,0
15949,2020-11,811,1072,957,1.04,-0.46,26,20000,48,Best Loans Warehouse,39,East of England,1,20,3.0,1,1,0,4,93.0,0,0,1,64,9,2,1,-2,0
14767,2021-08,817,646,1159,-1.05,-0.43,30,15000,48,Best Loans Warehouse,33,East of England,1,31,5.0,1,1,-2,4,23.0,0,0,0,0,9,2,0,1,0
46921,2021-02,1258,838,1122,1.62,1.91,1,15000,60,Best Loans Warehouse,35,South East,5,92,2.0,1,0,-2,0,43.0,0,0,0,0,9,3,0,1,0
35427,2021-08,1292,663,916,-1.66,2.09,0,4000,12,Best Loans Warehouse,27,Yorkshire and The Humber,3,50,2.0,1,1,-2,3,39.0,0,0,0,0,9,0,0,2,0
29207,2021-01,312,838,704,0.4,-3.11,83,5000,60,Best Loans Warehouse,43,South East,1,24,6.0,1,0,-2,5,94.0,0,0,1,57,5,0,1,6,0
39243,2020-01,907,809,1423,-1.17,0.05,8,10000,48,Loan Saving Expert,47,South West,3,47,7.0,0,0,-2,3,35.0,0,0,0,0,3,0,0,1,1
50987,2020-06,940,770,874,-1.21,0.22,4,1500,24,Best Loans Warehouse,25,East of England,6,107,4.0,0,0,-2,4,98.0,0,0,0,0,7,0,0,1,0
27449,2020-04,959,815,1377,-1.23,0.33,4,3600,12,Best Loans Warehouse,24,North West,6,130,2.0,1,1,0,0,,0,0,0,0,9,6,0,1,0
49073,2020-12,890,728,1062,-1.15,-0.04,6,2000,36,Best Loans Warehouse,39,Scotland,4,91,4.0,1,1,-2,6,,0,0,0,0,0,0,0,1,0
26022,2021-04,955,1045,579,1.23,0.3,3,10000,60,Best Loans Warehouse,34,North West,0,17,4.0,1,0,-2,4,48.0,0,0,0,0,6,1,0,0,0
54929,2020-03,1048,554,598,1.35,0.8,1,10000,60,Get Loans Marketplace,39,North East,1,35,,1,0,-2,6,79.0,0,0,0,0,4,1,0,2,1
33513,2020-11,466,718,80,-0.6,-2.29,26,2000,12,Best Loans Warehouse,28,East of England,1,37,2.0,0,0,0,4,89.0,0,0,0,0,9,6,0,3,1
43562,2021-05,900,801,302,-1.16,0.01,2,11000,36,Best Loans Warehouse,36,London,1,24,1.0,0,0,0,1,18.0,0,0,0,0,9,6,1,1,0
41214,2020-03,987,801,825,1.27,0.47,3,3500,24,Best Loans Warehouse,42,South East,4,75,1.0,1,0,-2,2,14.0,0,0,0,0,3,1,0,0,0
33123,2021-05,554,565,402,-0.71,-1.82,16,4500,36,Best Loans Warehouse,31,London,3,73,3.0,0,0,-2,4,26.0,0,0,0,0,9,1,0,5,0
55157,2020-09,912,598,1080,-1.17,0.08,4,3000,48,Other,27,London,5,75,3.0,0,1,0,5,44.0,0,0,0,0,9,4,0,1,0
44132,2021-05,707,792,911,-0.91,-1.01,26,15000,60,Best Loans Warehouse,46,Yorkshire and The Humber,5,77,9.0,0,1,0,4,12.0,0,0,0,0,9,1,0,3,0
20832,2020-11,865,508,523,1.11,-0.17,4,8000,60,Other,41,East of England,1,21,7.0,1,1,0,1,65.0,0,0,1,54,9,1,1,1,0
24311,2021-09,663,915,157,0.85,-1.24,16,3000,36,Other,26,North East,0,16,,0,0,-2,2,69.0,0,0,0,0,6,1,0,2,1
40539,2020-08,1154,831,910,-1.49,1.36,-2,12500,60,Best Loans Warehouse,59,South East,4,69,3.0,0,0,-2,6,,0,0,0,0,2,0,0,0,1
32291,2021-08,577,627,221,0.74,-1.7,57,7000,60,Best Loans Warehouse,58,West Midlands,0,12,6.0,1,1,-2,4,5.0,0,0,0,0,9,1,0,5,0
22033,2020-11,803,545,1003,1.03,-0.5,12,3000,60,Other,38,North West,2,53,2.0,1,1,2,4,11.0,0,0,1,49,9,2,1,3,0
26988,2021-01,440,692,426,0.57,-2.43,40,6000,36,Best Loans Warehouse,32,Scotland,1,27,2.0,1,1,0,4,19.0,0,0,0,0,9,4,0,2,0
48961,2021-04,922,649,880,-1.19,0.13,4,2300,18,Best Loans Warehouse,34,East of England,0,18,6.0,1,0,-2,5,99.0,0,0,0,0,9,2,0,1,0
37417,2020-01,965,520,759,1.24,0.36,1,3000,48,Best Loans Warehouse,26,South East,0,12,3.0,1,0,-2,2,98.0,0,0,0,0,3,0,0,0,0
14162,2021-11,1139,952,825,-1.47,1.28,1,3200,24,Best Loans Warehouse,33,Yorkshire and The Humber,6,103,4.0,1,1,-2,4,11.0,0,0,0,0,4,1,0,1,0
34935,2020-08,901,580,701,1.16,0.02,8,10000,60,Best Loans Warehouse,60,East of England,1,28,8.0,1,0,-2,2,0.0,0,0,0,0,3,1,0,6,0
33782,2021-11,843,773,489,1.08,-0.29,12,15000,48,Best Loans Warehouse,35,East Midlands,6,97,1.0,1,1,-2,0,69.0,0,0,0,0,9,3,0,3,0
23945,2020-12,925,596,697,1.19,0.15,8,8000,48,Other,26,Yorkshire and The Humber,1,28,1.0,0,0,-2,4,43.0,0,0,0,0,9,0,0,0,0
55947,2020-12,838,899,888,1.08,-0.32,10,6000,48,Best Loans Warehouse,40,North West,4,50,3.0,0,0,-2,6,65.0,0,0,1,70,9,2,1,3,0
55919,2020-12,708,584,1024,0.91,-1.01,26,5000,60,Best Loans Warehouse,39,Scotland,6,90,5.0,0,0,0,4,90.0,0,0,0,0,5,2,0,4,1
37841,2020-04,688,634,784,-0.89,-1.11,10,1500,12,Loan Saving Expert,30,East of England,2,59,9.0,0,0,-2,6,85.0,0,0,0,0,6,1,0,0,0
51121,2020-11,774,808,978,-1.0,-0.66,12,8000,48,Best Loans Warehouse,48,West Midlands,0,19,2.0,0,0,-2,1,80.0,0,0,0,0,3,1,0,5,0
56828,2021-01,942,887,634,1.21,0.24,4,6000,48,Best Loans Warehouse,49,East of England,0,18,9.0,0,0,-2,5,42.0,0,0,0,0,9,1,0,1,0
50203,2020-04,885,610,579,1.14,-0.07,8,5000,60,Loan Saving Expert,49,Scotland,3,42,9.0,1,1,0,6,23.0,0,0,0,0,3,0,0,-2,0
55559,2021-09,830,683,1206,-1.07,-0.36,8,5000,36,Best Loans Warehouse,34,Scotland,5,71,5.0,0,0,0,4,,0,0,1,40,0,0,1,0,0
54018,2021-03,780,827,1280,1.0,-0.62,10,7000,36,Best Loans Warehouse,35,North West,6,97,6.0,1,1,0,0,79.0,0,0,0,0,6,1,0,1,0
26235,2021-09,1082,811,1156,1.39,0.98,1,3000,48,Best Loans Warehouse,41,North East,0,18,1.0,0,0,-2,0,75.0,0,0,0,0,8,0,0,2,0
44238,2020-10,726,921,1070,-0.93,-0.91,19,4000,48,Best Loans Warehouse,58,South West,0,18,8.0,1,0,-2,1,28.0,1,28,2,23,6,2,2,0,0
