ID,application_date,generic_score,generic_score2,generic_score3,generic_score4,income_trend_score,indebtedness_score,loan_amount,loan_term,aggregator_group,age,region,social_accounts,social_score,job_sector,associate_flag,mortgage_flag,num_searches,num_accounts_closed,num_transactions,num_pi_records,num_months_pi_recorded,num_defaults,num_months_since_last_default,num_settled_good,num_settled_good_l6m,num_delinquents,num_of_revolving_accounts
58082,2021-09,983,655,765,-1.27,0.45,4,5000,60,Best Loans Warehouse,25,East of England,2,47,5.0,1,1,0,1,65.0,0,0,0,0,8,4,0,0
57959,2021-06,992,857,588,1.28,0.5,4,2000,24,Other,44,Wales,3,65,8.0,1,1,0,3,22.0,0,0,0,0,9,4,0,2
58509,2021-07,928,715,760,-1.19,0.16,4,15000,60,Other,47,Scotland,6,114,2.0,1,1,1,2,69.0,0,0,0,0,9,5,0,1
60453,2020-06,1124,540,646,-1.45,1.2,1,7000,48,Best Loans Warehouse,25,North West,5,65,2.0,0,1,-2,6,85.0,0,0,0,0,1,0,0,0
58288,2021-07,715,826,401,-0.92,-0.97,19,2000,12,Best Loans Warehouse,27,Scotland,1,23,4.0,0,0,0,5,43.0,0,0,1,33,9,4,1,1
60993,2021-07,637,845,173,-0.82,-1.38,16,1500,24,Best Loans Warehouse,52,South West,4,60,8.0,1,0,-2,0,,2,10,0,0,4,2,0,2
58033,2021-11,777,849,1143,-1.0,-0.64,12,15000,36,Best Loans Warehouse,36,London,2,34,2.0,1,1,-2,1,73.0,0,0,0,0,3,0,0,3
62332,2021-12,795,659,1323,1.02,-0.54,26,1500,36,Other,37,East of England,6,130,1.0,0,0,-2,4,2.0,0,0,1,71,5,3,1,1
61455,2021-03,1096,505,1632,1.41,1.05,3,3000,12,Best Loans Warehouse,47,East of England,6,126,3.0,1,0,-2,0,3.0,0,0,0,0,8,2,0,3
60440,2021-03,977,654,453,-1.26,0.42,4,19000,48,Best Loans Warehouse,31,North East,0,13,2.0,0,0,-2,3,24.0,0,0,0,0,9,3,0,2
60985,2021-02,1135,568,751,1.46,1.26,3,20000,60,Best Loans Warehouse,42,Scotland,5,76,4.0,1,0,-2,2,15.0,0,0,0,0,5,0,0,2
58713,2021-04,1089,650,1283,-1.4,1.02,1,13000,60,Best Loans Warehouse,49,North West,4,79,5.0,1,1,-2,2,48.0,0,0,0,0,7,2,0,5
57957,2020-05,1254,742,1098,1.61,1.89,0,4000,60,Loan Saving Expert,33,North East,6,132,3.0,1,1,-2,0,85.0,0,0,0,0,9,8,0,1
62512,2021-02,1189,592,1571,-1.53,1.55,2,8500,60,Best Loans Warehouse,26,North East,4,79,2.0,0,1,0,1,93.0,0,0,0,0,3,1,0,1
58238,2021-09,835,677,739,1.07,-0.33,6,3000,48,Loan Saving Expert,28,East of England,0,15,6.0,0,0,0,5,,0,0,0,0,1,0,0,0
57643,2021-02,608,1007,684,0.78,-1.54,16,2500,24,Best Loans Warehouse,30,North West,4,68,3.0,1,0,1,0,48.0,0,0,0,0,9,9,0,2
60657,2020-10,900,943,952,1.16,0.01,1,8000,60,Best Loans Warehouse,45,North West,2,35,2.0,1,1,0,6,71.0,0,0,0,0,9,5,1,1
58113,2021-01,1171,765,709,1.51,1.45,2,2000,18,Best Loans Warehouse,41,East Midlands,2,50,7.0,1,0,-2,1,25.0,0,0,0,0,6,1,0,0
62308,2021-07,794,1016,1082,1.02,-0.55,26,12000,60,Best Loans Warehouse,49,West Midlands,0,17,8.0,1,0,-2,3,7.0,1,71,1,64,2,1,1,2
61863,2020-08,577,915,329,0.74,-1.7,46,4000,48,Best Loans Warehouse,37,East Midlands,1,37,5.0,1,0,1,0,31.0,0,0,0,0,0,0,0,3
57718,2021-07,717,646,297,0.92,-0.96,12,2000,12,Loan Saving Expert,33,South East,6,112,5.0,1,0,0,1,69.0,0,0,0,0,7,4,0,0
62151,2021-01,818,732,562,-1.05,-0.42,26,10000,36,Best Loans Warehouse,50,East of England,1,32,1.0,0,1,-2,4,98.0,0,0,0,0,9,3,0,6
58437,2020-07,1139,549,1489,1.47,1.28,2,7000,36,Best Loans Warehouse,40,North West,2,33,6.0,1,1,-2,5,8.0,0,0,0,0,9,2,0,3
59230,2020-06,1001,994,781,-1.29,0.55,4,4800,60,Other,37,West Midlands,6,104,,1,1,0,6,76.0,0,0,0,0,9,1,0,2
60089,2021-02,708,665,924,0.91,-1.01,12,4000,60,Get Loans Marketplace,38,South West,6,112,,0,0,-2,1,91.0,0,0,0,0,8,3,0,0
57414,2021-08,579,726,211,-0.75,-1.69,26,10000,48,Best Loans Warehouse,47,London,6,99,3.0,1,1,-2,5,8.0,0,0,0,0,9,2,0,8
58175,2021-08,1005,989,519,1.29,0.57,6,10000,60,Best Loans Warehouse,31,Yorkshire and The Humber,1,21,2.0,1,1,0,4,9.0,0,0,0,0,9,3,0,4
57438,2021-05,1045,975,869,-1.34,0.78,3,5500,48,Best Loans Warehouse,41,South East,2,52,4.0,1,1,-2,0,94.0,0,0,0,0,9,8,0,0
61291,2020-07,1028,528,1490,-1.32,0.69,4,10000,60,Best Loans Warehouse,51,Yorkshire and The Humber,2,35,3.0,1,1,-2,6,97.0,0,0,0,0,9,2,0,5
61087,2020-01,657,619,521,-0.85,-1.28,16,1500,24,Best Loans Warehouse,29,North West,0,12,2.0,0,0,0,2,30.0,0,0,0,0,8,4,0,4
61902,2020-05,1248,867,1698,-1.61,1.86,1,6000,60,Best Loans Warehouse,48,West Midlands,3,62,3.0,1,1,-2,4,24.0,0,0,0,0,9,2,0,1
57561,2020-02,956,1342,1380,1.23,0.31,6,8000,60,Loan Saving Expert,37,North East,3,58,9.0,1,1,-2,2,85.0,0,0,0,0,9,4,0,2
57896,2020-10,706,699,1236,0.91,-1.02,46,2000,24,Best Loans Warehouse,36,North West,5,85,2.0,1,1,-2,6,27.0,0,0,0,0,9,1,1,1
56997,2020-03,1220,587,862,-1.57,1.71,2,10000,48,Best Loans Warehouse,56,South East,0,19,3.0,1,1,-2,0,44.0,0,0,0,0,7,4,0,2
58850,2020-11,415,1104,319,0.53,-2.56,64,1500,18,Best Loans Warehouse,29,South East,0,14,2.0,1,0,1,4,23.0,0,0,2,11,3,0,2,2
60749,2021-05,714,955,624,0.92,-0.97,46,1500,36,Best Loans Warehouse,46,East Midlands,0,12,3.0,1,1,-2,3,35.0,0,0,0,0,9,1,1,3
57115,2020-03,1110,691,1318,1.43,1.13,2,5500,60,Other,46,East Midlands,2,36,2.0,1,1,-2,5,91.0,0,0,0,0,9,0,0,2
60466,2020-12,1002,880,1314,-1.29,0.55,2,3000,36,Best Loans Warehouse,51,South East,6,106,8.0,1,0,-2,6,6.0,0,0,0,0,4,0,0,1
61660,2021-02,900,746,1190,1.16,0.01,12,10000,60,Best Loans Warehouse,34,South West,4,89,2.0,1,0,-2,1,11.0,0,0,1,20,9,3,1,1
60413,2020-03,543,928,9,-0.7,-1.88,26,3000,36,Best Loans Warehouse,50,Scotland,3,75,2.0,0,0,0,0,50.0,0,0,0,0,3,2,0,6
57922,2021-01,947,854,1447,-1.22,0.26,2,7000,60,Best Loans Warehouse,47,North East,0,16,2.0,0,1,-2,6,,0,0,0,0,2,0,0,3
57878,2021-07,1114,506,1388,1.43,1.15,2,8000,48,Best Loans Warehouse,29,North West,5,84,9.0,1,0,1,4,,0,0,0,0,9,3,0,0
61044,2020-07,1004,584,938,1.29,0.56,8,5000,24,Best Loans Warehouse,50,East of England,2,55,9.0,0,0,-2,3,43.0,0,0,0,0,3,2,0,5
57582,2020-08,1185,780,1041,1.53,1.52,3,10000,48,Best Loans Warehouse,28,South East,1,31,5.0,0,0,-2,0,26.0,0,0,0,0,7,1,0,1
59161,2021-07,1059,580,1613,-1.36,0.86,6,4400,48,Best Loans Warehouse,22,Scotland,5,107,9.0,0,0,-2,3,40.0,0,0,0,0,6,1,0,0
61151,2020-11,541,896,437,-0.7,-1.89,46,6000,36,Best Loans Warehouse,58,East Midlands,6,139,3.0,0,0,0,0,20.0,0,0,0,0,9,3,0,3
60675,2021-07,862,831,1276,-1.11,-0.19,12,2000,12,Best Loans Warehouse,40,South East,3,65,2.0,0,0,0,4,50.0,0,0,0,0,9,8,0,1
61581,2020-07,868,1262,372,-1.12,-0.16,1,3000,18,Best Loans Warehouse,39,South West,5,100,5.0,1,1,0,3,34.0,0,0,5,58,3,0,5,-2
62031,2020-07,958,577,578,-1.23,0.32,6,4000,36,Other,21,Yorkshire and The Humber,5,106,5.0,0,0,-2,6,80.0,0,0,0,0,4,1,0,0
60661,2020-03,781,569,569,-1.01,-0.62,12,4000,36,Loan Saving Expert,31,West Midlands,6,129,2.0,0,1,-2,1,12.0,0,0,0,0,9,6,0,2
61029,2021-12,688,572,96,-0.89,-1.11,12,1500,12,Best Loans Warehouse,32,London,2,44,3.0,1,0,-2,1,13.0,0,0,2,61,4,2,3,3
60243,2020-05,776,738,984,1.0,-0.65,8,6000,60,Best Loans Warehouse,40,North West,4,93,2.0,1,0,-2,0,23.0,1,51,0,0,1,0,0,1
59756,2021-08,862,817,1286,-1.11,-0.19,2,2000,18,Best Loans Warehouse,34,North West,1,29,1.0,0,0,-2,3,,1,43,0,0,4,2,0,1
60667,2020-02,900,764,1346,-1.16,0.01,16,2000,18,Best Loans Warehouse,27,Scotland,2,44,4.0,1,0,-2,5,50.0,0,0,1,71,5,1,1,0
59481,2021-10,669,675,213,-0.86,-1.21,26,3000,36,Best Loans Warehouse,26,South East,6,115,2.0,0,0,-2,3,61.0,0,0,0,0,9,5,0,0
57869,2021-08,1006,891,902,1.29,0.57,4,13000,60,Best Loans Warehouse,33,North West,3,76,9.0,1,1,-2,1,42.0,0,0,0,0,7,0,0,0
59294,2021-06,845,597,943,-1.09,-0.28,6,25000,60,Best Loans Warehouse,30,East Midlands,3,54,3.0,0,1,-2,4,57.0,0,0,0,0,9,2,0,3
60019,2021-11,1050,854,544,1.35,0.81,1,8500,48,Best Loans Warehouse,48,West Midlands,4,80,1.0,0,0,-2,3,83.0,0,0,0,0,5,0,0,0
60931,2020-10,1025,658,1569,-1.32,0.68,2,10000,60,Best Loans Warehouse,51,North West,1,21,8.0,1,1,-2,4,52.0,0,0,0,0,1,1,0,1
61089,2020-10,700,843,114,-0.9,-1.05,30,5000,12,Get Loans Marketplace,39,South East,6,102,,0,1,0,6,20.0,0,0,0,0,6,0,0,1
56895,2020-08,1010,885,464,-1.3,0.6,4,13000,36,Other,60,London,4,78,,0,0,-2,1,10.0,0,0,0,0,3,2,0,2
56897,2021-03,1310,1019,1332,-1.69,2.19,1,10000,30,Best Loans Warehouse,31,North West,6,117,2.0,0,1,-2,6,57.0,0,0,0,0,9,0,0,0
58725,2020-04,854,512,800,-1.1,-0.23,16,5000,36,Best Loans Warehouse,33,Wales,2,55,6.0,0,0,-2,1,40.0,3,47,2,49,9,4,2,2
59201,2021-12,722,829,1132,-0.93,-0.93,12,1500,24,Get Loans Marketplace,38,North West,0,17,,0,0,-2,4,76.0,0,0,0,0,9,5,0,4
58345,2020-12,1279,535,707,1.65,2.02,1,6000,48,Best Loans Warehouse,51,East of England,2,53,4.0,1,1,-2,0,65.0,0,0,0,0,9,1,0,0
58500,2021-10,1084,1002,1028,1.4,0.99,1,4000,60,Best Loans Warehouse,51,South East,5,85,2.0,1,1,-2,4,26.0,0,0,0,0,7,1,0,2
58752,2021-09,900,569,1246,1.16,0.01,8,6000,48,Other,35,West Midlands,5,109,2.0,1,1,-2,4,8.0,0,0,1,38,9,3,1,2
61280,2020-06,714,782,578,-0.92,-0.97,16,4000,24,Loan Saving Expert,25,East Midlands,4,85,2.0,0,0,0,4,11.0,0,0,1,27,3,0,1,-2
61097,2021-03,413,615,817,-0.53,-2.57,46,1500,18,Best Loans Warehouse,29,Yorkshire and The Humber,5,103,6.0,0,0,1,0,74.0,0,0,3,40,9,0,6,0
